Location,Site Name,Sub Route,Via Route,Route,Des Code,Google Km,Grace Km,Total Km,A Hrs,Lead Hours,Lead Days,Lastdispatched,Lastdispatchcount,Mtd Count,Boxcount Packstage,Boxcount Pnastage SUM,Boxcount Cla,Boxcount Sprs Cla,Boxcount Clarackstg SUM,Boxcount Clagrid SUM,Boxcount Claholdstg SUM,Boxcount Loadlane SUM,Boxcount Clawinterstage SUM,Apps Boxcount,Nonapps Boxcount,Non Trading Boxcount,FMCG Boxcount,Total Box Count,Total Box Count_Stages,Apps Cft,Non Apps Cft,Non Trading Cft,Fmcg Cft,Apps Qty Ea,Non Apps Qty Ea,Non Trading Qty Ea,FMCG_QTY_ EA,TOTAL COGS,Hold Pkt,Total Pkg.,SN CFT,Total CFT,Total Qty
271-VMART LUCKNOW-ASHIYANA,LUCKNOW-ASHIYANA,R-77,"NUH,HODEL,KOSHI",77,101266,538,2,540,24,2,1,,,,,41,132,726,,6,,85,,357,530,188,113,1188,,1211,1052,112,93,18376,9299,5977,2516,6723286,233,625,0,2468,36168
272-VMART LUCKNOW-BKT,LUCKNOW-BKT,R-77,"NUH,HODEL,KOSHI",77,101267,543,3,546,24,2,1,,,,,53,2,1158,,1,,146,,667,588,245,112,1612,,2612,1066,0,84,41281,9743,760,1932,11749348,44,1314,0,3763,53716
208-VMART NAGAON,NAGAON,R-78,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",78,101170,2126,9,2135,144,1,6,D-Oct-YY,197,391,1,9,1,140,,,,6,,88,52,38,23,201,,276,105,11,26,3796,726,6831,627,1512822,20,136,0,417,11980
220-VMART JORHAT,JORHAT,R-78,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",78,101184,2027,3,2030,144,3,6,D-Oct-YY,122,324,1,13,,123,,,,1,,81,42,40,16,179,,231,76,31,5,3055,650,10202,396,1376972,5,133,0,344,14303
278-VMART DIBRUGARH-JHALUKPARA,DIBRUGARH-JHALUKPARA,R-78,"AGRA,LUKNOW,GORAKHPUR",78,101283,2360,9,2369,144,5,6,D-Oct-YY,76,322,2,11,,122,,,,3,,102,,36,35,,,354,,11,18,4162,,5822,501,1654678,0,138,0,383,10485
065-VMART KOTA,KOTA,R-79,"KOTHPUTLI,JAIPUR,KISHANGANJ",79,33,461,5,466,72,2,3,D-Oct-YY,116,801,15,47,1,42,,,,6,,48,15,21,49,133,,173,23,0,56,2209,238,6822,1131,837386,25,85,0,252,10400
279-KOTA-RANGBARI,KOTA-RANGBARI,R-79,"KOTHPUTLI,JAIPUR,KISHANGANJ",79,101284,459,5,464,72,2,3,D-Oct-YY,118,521,,11,,31,,,,4,,31,12,16,2,61,,97,18,0,0,1294,319,6572,24,515688,0,46,0,115,8209
284-VMART KOTA-KUNADI,KOTA-KUNADI,R-79,"KOTHPUTLI,JAIPUR,KISHANGANJ",79,101298,445,5,450,72,2,3,D-Oct-YY,52,1058,,7,3,29,,,,22,,57,3,28,,,,186,12,7,,2869,90,6390,,910716,0,58,0,205,9349
041-VMART RAJIV NAGAR,RAJIV NAGAR,R-8,"HODEL,KANPUR,ALLAHBAD,MOHNIYA",8,100364,60,10,70,2,2,5,D-Oct-YY,41,397,,13,,16,,,,,,14,13,5,1,33,,54,42,21,1,645,200,700,12,246450,20,9,0,118,1557
096-VMART BORING ROAD-PATNA,BORING ROAD-PATNA,R-8,"HODEL,KANPUR,ALLAHBAD,MOHNIYA",8,100172,5,0,5,0,1,5,D-Oct-YY,66,1324,10,37,1,52,,,,5,,34,38,14,35,121,,120,190,21,48,1655,823,1750,1131,642054,10,94,0,379,5359
214-VMART SAGUNA MOR-PATNA,SAGUNA MOR-PATNA,R-8,"HODEL,KANPUR,ALLAHBAD,MOHNIYA",8,101178,9,3,12,0,1,1,D-Oct-YY,29,356,,8,1,10,,,,,,19,,9,,,,69,,11,,853,,5822,,301796,16,2,0,80,6675
035-VMART RENUKOOT,RENUKOOT,R-80,"HODEL,AGRA,KANPUR,ALLAHBAD,DALTONGANJ",80,49,917,15,932,96,1,4,D-Oct-YY,251,982,12,41,,87,,,,12,,33,32,13,86,164,,127,154,0,108,1458,401,6062,2117,665800,16,136,0,389,10038
192-VMART GARHWA,GARHWA,R-80,"HODEL,AGRA,KANPUR,ALLAHBAD,DALTONGANJ",80,101142,1010,5,1015,96,1,4,D-Oct-YY,86,427,4,8,,25,,,,2,,30,8,15,2,55,,52,37,0,1,1218,103,6272,60,492700,7,32,0,91,7653
223-VMART MIRZAPUR,MIRZAPUR,R-80,"HODEL,AGRA,KANPUR,ALLAHBAD,DALTONGANJ",80,101188,769,5,774,72,2,3,,,,,54,,318,,,,106,,174,230,86,60,550,,672,406,71,47,9885,3178,2990,894,3231456,0,478,0,1196,16947
286-VMART DELHI-NARELA,DELHI-NARELA,R-81,"GURGAON,DELHI",81,101305,94,2,96,24,0,1,D-Oct-YY,110,288,1,18,,37,,,,1,,50,3,27,8,88,,170,27,0,2,1858,28,5522,166,807416,0,57,0,198,7574
292-VMART KANPUR-KALYANPUR,KANPUR-KALYANPUR,R-82,"NUH,AGRA,FIROZABAD,SHIKOHABAD",82,101317,487,5,492,48,2,2,D-Oct-YY,175,1954,11,33,4,37,,,,33,,35,44,21,47,147,,129,128,0,48,1984,754,5704,1063,680426,0,114,0,305,9505
291-VMART JAMMU-JANIPUR,JAMMU-JANIPUR,R-83,"PAUTODI,JAJHAR,ROHTAK,LDH,PATHANKOT",83,101316,652,10,662,72,3,3,D-Oct-YY,138,997,11,26,,143,,,,12,,90,61,45,43,239,,353,189,19,44,3870,926,7563,950,1580294,0,192,0,605,13309
277-VMART KOHIMA-NORTH BLOCK,KOHIMA-NORTH BLOCK,R-84,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",84,101282,2274,10,2284,192,2,7,D-Oct-YY,182,389,4,40,1,189,,,,16,,139,99,72,14,324,,391,246,30,8,5706,1811,8042,186,2397504,271,-22,0,675,15745
184-VMART LUCKNOW-QAISARBAGH,LUCKNOW-QAISARBAGH,R-86,"NUH,AGRA,KANPUR",86,101130,534,10,544,72,2,3,D-Oct-YY,57,1473,,13,1,24,,,,8,,31,13,11,5,60,,118,41,0,4,1457,270,5522,108,520422,0,45,0,163,7357
302-VMART LUCKNOW-RAJAJIPURAM 2,LUCKNOW-RAJAJIPURAM 2,R-86,"NUH,AGRA,KANPUR",86,101329,524,10,534,72,2,3,D-Oct-YY,98,1395,1,28,1,17,,,,3,,35,7,20,5,67,,108,13,25,1,2030,168,13271,36,573302,0,49,0,148,15505
090-VMART DUMKA,DUMKA,R-9,"HODEL,ALLAHBAD,AURANGABAD,BAGODAR",9,100205,67,15,82,2,2,5,D-Oct-YY,104,732,1,15,,33,,,,,,24,11,11,14,60,,78,74,0,16,1062,115,1050,222,414556,20,29,0,168,2449
091-VMART DEOGHAR,DEOGHAR,R-9,"HODEL,ALLAHBAD,AURANGABAD,BAGODAR",9,100366,1265,15,1280,32,40,4,D-Oct-YY,120,848,10,21,,35,,,,3,,35,7,11,29,82,,136,56,,31,1445,145,,589,596966,15,54,0,223,2179
145-VMART DHULIYAN,DHULIYAN,R-9,"HODEL,ALLAHBAD,AURANGABAD,BAGODAR",9,101040,100,10,110,3,5,5,D-Oct-YY,24,223,,7,1,18,,,,1,,21,5,7,2,35,,24,3,,3,1035,64,,18,344416,10,16,0,30,1117
1001-FACTORY OUTLET_BILASPUR,FACTORY OUTLET_BILASPUR,,,,100235,,,,,,,D-Oct-YY,19,110,18,5,,,,,,,,,,,,,,,,,,,,,,0,0,23,0,0,0
166-CORPORATE SALE_TAORU,CORPORATE SALE_TAORU,,,,101067,,,,,,,D-Oct-YY,25,75,,2,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,0,0
228-VMART RAJOURI,RAJOURI,,,,101196,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,0,0,3,0,0,0
249-VMART AKHNOOR-LOHRI MALL,AKHNOOR-LOHRI MALL,,,,101239,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,0,20,-16,0,0,0
