Location,Site Name,Sub Route,Via Route,Route,Des Code,Google Km,Grace Km,Total Km,A Hrs,Lead Hours,Lead Days,Lastdispatched,Lastdispatchcount,Mtd Count,Boxcount Packstage,Boxcount Pnastage SUM,Boxcount Cla,Boxcount Sprs Cla,Boxcount Clarackstg SUM,Boxcount Clagrid SUM,Boxcount Claholdstg SUM,Boxcount Loadlane SUM,Boxcount Clawinterstage SUM,Apps Boxcount,Nonapps Boxcount,Non Trading Boxcount,FMCG Boxcount,Total Box Count,Total Box Count_Stages,Apps Cft,Non Apps Cft,Non Trading Cft,Fmcg Cft,Apps Qty Ea,Non Apps Qty Ea,Non Trading Qty Ea,FMCG_QTY_ EA,TOTAL COGS,Hold Pkt,Total Pkg.,SN CFT,Total CFT,Total Qty
077-VMART LAXMINAGAR,LAXMINAGAR,R-12,"GURGAON,MAHIPALPUR,DHAULAKUWA",12,22,75,5,80,24,24,1,D-Oct-YY,39,392,,3,1,35,,,1,22,,57,,18,4,,,208,,0,1,2751,,155,54,909332,26,34,0,210,2960
015-VMART CHOWK,CHOWK,R-13,"NUH,AGRA,KANPUR",13,76,3,2,5,0,1,3,D-Oct-YY,91,986,18,38,1,80,,,1,,,49,11,22,76,158,,194,21,11,91,2343,202,6570,1898,872788,16,120,0,316,11013
106-VMART HUSSAINGANJ-LUCKNOW,HUSSAINGANJ,R-13,"NUH,AGRA,KANPUR",13,100822,3,2,5,0,1,3,D-Oct-YY,48,537,,8,,33,,,1,1,,28,9,13,4,54,,98,14,0,2,992,83,655,90,464680,13,29,0,115,1820
164-VMART THAKURGANJ,THAKURGANJ,R-13,"NUH,AGRA,KANPUR",13,101065,555,15,570,14,16,3,D-Oct-YY,41,451,1,12,,33,,,1,2,,25,19,15,2,61,,86,25,0,1,1146,249,11126,54,432816,17,31,0,111,12575
273-VMART LUCKNOW-KHURRAM NAGAR,LUCKNOW-KHURRAM NAGAR,R-13,"NUH,AGRA,KANPUR",13,101268,554,2,556,72,70,3,D-Oct-YY,27,450,,17,,36,,,,2,,37,13,18,7,75,,136,51,0,3,1715,135,5527,102,617698,0,55,0,190,7479
013-VMART LUCKNOW,LUCKNOW,R-14,"NUH,AGRA,KANPUR",14,29,2,3,5,0,1,3,D-Oct-YY,47,875,2,35,,50,,3,1,3,,53,19,29,22,123,,192,70,11,20,2472,207,6077,464,897288,18,75,0,292,9220
014-VMART VIKAS NAGAR,VIKAS NAGAR,R-14,"NUH,AGRA,KANPUR",14,69,555,15,570,14,16,3,D-Oct-YY,82,795,9,24,1,47,,7,1,3,,39,11,18,43,111,,138,14,0,56,1678,126,5677,1032,681410,16,74,0,208,8513
112-VMART CANT ROAD,CANT ROAD,R-14,"NUH,AGRA,KANPUR",14,100999,2,2,4,0,1,3,D-Oct-YY,28,295,2,11,,15,,2,1,,,17,2,9,14,42,,33,27,0,15,677,12,155,302,287384,7,23,0,76,1146
016-VMART BARABANKI,BARABANKI,R-15,"NUH,AGRA,KANPUR,UNNAO",15,79,585,15,600,15,18,4,D-Oct-YY,53,569,,11,2,23,,1,,1,,21,8,9,8,46,,76,9,0,8,871,85,5582,184,355660,10,26,0,93,6722
021-VMART AKBARPUR,AKBARPUR,R-15,"NUH,AGRA,KANPUR,UNNAO",15,83,170,16,186,5,5,4,D-Oct-YY,77,1039,16,32,2,56,,1,,4,,28,37,9,48,122,,97,79,0,55,1254,520,5522,996,557792,11,98,0,230,8292
022-VMART MAU,MAU,R-15,"NUH,AGRA,KANPUR,UNNAO",15,86,127,10,137,3,4,4,D-Oct-YY,71,986,6,14,,66,,,,7,,25,38,11,26,100,,96,65,21,35,1288,573,6522,703,490224,15,78,0,217,9086
007-VMART MANGLAM,MANGLAM,R-16,"NUH,AGRA,KANPUR,MOHANLALGANJ",16,68,3,2,5,0,1,3,D-Oct-YY,170,981,5,26,,47,,,,4,,38,5,15,40,98,,131,8,0,47,1515,70,5727,877,651912,25,57,0,186,8189
008-VMART RAJENDER NAGAR,RAJENDER NAGAR,R-16,"NUH,AGRA,KANPUR,MOHANLALGANJ",16,84,6,2,8,0,1,3,D-Oct-YY,139,935,26,26,,40,,,,7,,45,6,20,50,121,,169,8,9,62,2096,77,5772,1163,774736,25,74,0,247,9108
111-VMART PADARI BAZAR-GORAKHPUR,PADARI BAZAR,R-16,"NUH,AGRA,KANPUR,MOHANLALGANJ",16,100998,8,2,10,0,1,3,D-Oct-YY,133,880,7,19,,32,,,,2,,31,6,10,23,70,,110,15,0,23,1305,77,150,511,525738,21,39,0,147,2043
025-VMART SULTANPUR,SULTANPUR,R-17,"NUH,AGRA,KANPUR,UNNAO",17,48,79,15,94,2,3,4,D-Oct-YY,132,2274,21,98,1,191,,,,3,,60,18,16,238,332,,237,22,0,282,2760,204,5523,4781,1219676,14,299,0,541,13268
026-VMART PARTAP GARH,PARTAP GARH,R-17,"NUH,AGRA,KANPUR,UNNAO",17,53,76,15,91,2,3,4,D-Oct-YY,131,1699,12,48,,153,,,,20,,53,19,20,161,253,,195,38,0,168,2231,350,5642,3395,1034342,12,221,0,400,11618
027-VMART RAIBARELI,RAIBARELI,R-17,"NUH,AGRA,KANPUR,UNNAO",17,100207,600,20,620,16,20,4,D-Oct-YY,105,1427,10,32,,91,,,,10,,51,12,15,80,158,,196,12,0,85,2164,131,60,1797,910276,13,130,0,292,4152
010-VMART DEORIA,DEORIA,R-18,"NUH,AGRA,KANPUR,UNNAO",18,61,65,10,75,2,3,4,D-Oct-YY,203,2030,25,26,,65,,38,,5,,18,14,4,129,165,,64,18,0,141,836,256,5522,2349,437970,19,140,0,223,8963
131-VMART PADRAUNA,PADRAUNA,R-18,"NUH,AGRA,KANPUR,UNNAO",18,101026,917,20,937,23,28,4,D-Oct-YY,77,872,10,11,,15,,1,,,,10,6,2,23,41,,36,14,,28,487,66,,549,192174,19,18,0,78,1102
009-VMART BASTI,BASTI,R-19,"NUH,AGRA,KANPUR,MOHANLALGANJ",19,54,79,10,89,2,3,4,D-Oct-YY,77,1196,12,14,,70,,,,1,,48,16,14,38,116,,171,21,0,36,2088,310,5522,935,828316,7,90,0,228,8855
020-VMART FAIZABAD,FAIZABAD,R-19,"NUH,AGRA,KANPUR,MOHANLALGANJ",19,63,692,20,712,18,22,4,D-Oct-YY,40,908,12,9,,137,,,,17,,130,21,45,27,223,,499,39,0,35,5559,392,5522,691,2128838,14,161,0,573,12164
119-VMART KHALILABAD,KHALILABAD,R-19,"NUH,AGRA,KANPUR,MOHANLALGANJ",19,101007,33,5,38,1,1,4,D-Oct-YY,99,1048,5,30,,66,,,,2,,24,20,7,61,112,,83,25,,71,1099,256,,1199,476882,18,85,0,179,2554
099-VMART FIROZABAD,FIROZABAD,R-2,"NUH,HODEL,KOSHI",2,100744,236,16,252,6,2,2,D-Oct-YY,57,469,8,17,,30,,,,,,30,1,13,24,68,,118,3,0,28,1365,12,409,634,501960,18,37,0,148,2420
110-VMART ETAWAH,ETAWAH,R-2,"NUH,HODEL,KOSHI",2,100997,94,10,104,2,24,1,D-Oct-YY,80,938,12,28,1,40,,,,2,,39,8,17,36,100,,152,25,11,45,1634,66,746,841,669180,14,68,0,234,3287
257-VMART MAINPURI-STATION ROAD,MAINPURI-STATION ROAD,R-2,"NUH,HODEL,KOSHI",2,101251,55,10,65,2,24,1,D-Oct-YY,31,283,,6,,19,,,,1,,25,,15,,,,86,,0,,799,,5572,,397100,7,19,0,87,6371
017-VMART AZAMGARH,AZAMGARH,R-20,"NUH,AGRA,KANPUR",20,42,840,815,815,24,34,3,D-Oct-YY,71,1399,13,9,,8,,,,2,,8,3,3,21,35,,30,8,,23,501,60,,384,153106,9,23,0,60,945
018-VMART BHAGESHWAR NAGAR,BHAGESHWAR NAGAR,R-20,"NUH,AGRA,KANPUR",20,100052,846,821,821,24,34,3,D-Oct-YY,41,840,7,11,,16,,,,2,,14,12,9,12,47,,56,28,,12,636,120,,258,255520,13,23,0,97,1014
019-VMART JAUNPUR,JAUNPUR,R-20,"NUH,AGRA,KANPUR",20,60,767,20,787,20,24,3,D-Oct-YY,110,2294,23,23,1,27,,,,25,,18,42,7,41,108,,69,72,0,55,890,618,5522,1040,400930,14,84,0,197,8070
168-VMART HUSAINABAD-JAUNPUR,HUSAINABAD-JAUNPUR,R-20,"NUH,AGRA,KANPUR",20,101069,840,815,815,24,24,3,D-Oct-YY,92,555,21,9,,12,,,,3,,15,1,9,29,54,,57,0,0,35,694,12,5522,786,268630,10,35,0,93,7014
194-VMART SARAI MIR,SARAI MIR,R-20,"NUH,AGRA,KANPUR",20,101144,822,797,797,23,33,3,,,,,2,23,258,,1,,75,,364,,100,3,,,1298,,0,1,16561,,9,90,5784734,56,280,0,1299,16660
033-VMART GAZIPUR,GAZIPUR,R-21,"NUH,AGRA,KANPUR,JAUNPUR",21,58,84,10,94,2,3,3,D-Oct-YY,149,1275,11,19,,26,,,,6,,16,26,5,21,68,,60,31,,23,587,200,,444,321026,10,52,0,114,1231
034-VMART BALIA,BALIA,R-21,"NUH,AGRA,KANPUR,JAUNPUR",21,100090,80,10,90,2,3,3,D-Oct-YY,144,1296,11,25,1,11,,,,9,,5,19,2,34,60,,20,23,,31,339,145,,822,146688,18,38,0,73,1306
159-VMART LALGANJ,LALGANJ,R-21,"NUH,AGRA,KANPUR,JAUNPUR
 
 NUH,AGRA,KANPUR,JAUNPUR
 
 NUH,AGRA,KANPUR,JAUNPUR",21,101060,824,5,829,21,22,3,D-Oct-YY,95,580,4,9,,4,,1,,14,,11,9,6,14,40,,42,9,0,12,406,95,5522,272,204512,11,21,0,63,6295
085-VMART MOTIHARI,MOTIHARI,R-22,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",22,65,48,10,58,1,2,5,D-Oct-YY,185,1554,15,27,1,32,,1,,4,,24,10,9,50,93,,93,40,0,58,1259,324,5522,946,448276,13,66,0,190,8051
086-VMART BETTIAH,BETTIAH,R-22,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",22,80,84,10,94,2,3,5,D-Oct-YY,107,720,12,16,,19,,,,5,,16,8,7,29,60,,57,33,0,39,803,141,5522,747,296946,6,46,0,129,7213
189-VMART CHAKIA,CHAKIA,R-22,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",22,101139,1037,20,1057,26,40,3,D-Oct-YY,34,291,4,3,,11,,,,1,,15,1,4,3,23,,24,2,0,5,618,48,5522,125,242994,2,17,0,31,6313
083-VMART DARBHANGA,DARBHANGA,R-23,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",23,71,1140,15,1155,29,38,5,D-Oct-YY,223,1930,9,28,,79,,,,6,,25,12,4,90,131,,87,41,0,96,1186,214,5522,1931,507152,17,105,0,224,8853
087-VMART GOPALGANJ,GOPALGANJ,R-23,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",23,100504,954,5,959,96,2,4,D-Oct-YY,166,1089,5,17,,102,,,,9,,87,32,37,19,175,,285,81,21,28,3573,508,2384,439,1457474,13,120,0,415,6904
097-VMART MADHUBANI,MADHUBANI,R-23,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",23,100719,58,10,68,2,2,5,D-Oct-YY,52,842,11,16,,52,,,,7,,28,16,12,41,97,,99,28,0,49,1103,370,1050,1023,513594,15,71,0,176,3546
104-VMART KISHANGANJ,KISHANGANJ,R-24,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",24,100811,95,10,105,3,3,5,D-Oct-YY,73,734,9,24,,103,,,,12,,41,68,29,35,173,,153,145,43,42,1964,1396,8794,797,806522,13,135,0,382,12951
109-VMART PURNIA,PURNIA,R-24,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",24,100112,1363,20,1383,35,45,5,D-Oct-YY,122,1130,8,47,1,136,,,,13,,71,75,40,47,233,,250,278,0,60,2869,1302,3214,1137,1307306,12,192,0,589,8522
216-VMART RAMBAGH CHOWK,RAMBAGH CHOWK,R-24,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",24,101180,5,2,7,0,1,3,D-Oct-YY,57,475,6,19,,89,,,,11,,51,45,18,35,149,,167,182,0,47,1957,727,5522,840,924514,6,119,0,395,9046
274-VMART RAIGANJ-MG ROAD,RAIGANJ-MG ROAD,R-24,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",24,101269,1436,5,1441,120,125,5,D-Oct-YY,66,692,1,21,8,56,,,,15,,44,47,26,18,135,,153,153,0,20,2121,806,5522,404,800116,31,62,0,326,8853
122-VMART COOCH BEHAR,COOCH BEHAR,R-25,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",25,101010,94,10,104,5,96,4,D-Oct-YY,55,266,5,2,,44,,,,6,,53,4,15,2,74,,67,26,0,4,2110,37,1050,16,850928,13,44,0,97,3213
138-VMART JALPAIGURI,JALPAIGURI,R-25,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",25,101033,56,10,66,7,96,4,D-Oct-YY,66,340,2,3,,36,,,,3,,35,5,12,7,59,,56,30,,7,1492,58,,121,571722,4,40,0,92,1671
143-VMART SILIGURI,SILIGURI,R-25,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",25,101038,1449,10,1459,6,144,6,D-Oct-YY,38,235,,2,,22,,,,1,,16,6,6,7,35,,43,30,,7,655,57,,126,271702,9,16,0,79,838
251-VMART DHUBRI-GTB ROAD,DHUBRI-GTB ROAD,R-25,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",25,101242,90,10,100,6,96,4,D-Oct-YY,55,281,5,2,,36,,,,2,,40,1,15,3,59,,57,0,0,3,1509,10,6572,42,640094,25,20,0,60,8133
043-VMART CHHAPRA,CHHAPRA,R-26,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",26,75,61,5,66,2,2,4,D-Oct-YY,110,1049,19,18,,56,,1,,19,,44,14,15,57,130,,151,28,0,68,1865,376,5522,1481,779962,17,96,0,247,9244
044-VMART SIWAN,SIWAN,R-26,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",26,100208,1085,15,1100,28,35,3,D-Oct-YY,119,966,11,16,1,47,,,,11,,41,19,20,29,109,,144,32,11,36,1865,447,300,981,713582,15,70,0,223,3593
125-VMART HAJIPUR,HAJIPUR,R-26,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",26,101013,60,70,130,3,4,4,D-Oct-YY,92,882,7,18,,63,,,,5,,50,18,24,28,120,,178,30,11,36,2014,232,1350,640,853776,9,84,0,254,4236
037-VMART BEGUSARAI,BEGUSARAI,R-27,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",27,52,79,15,94,2,3,5,D-Oct-YY,194,2056,21,29,2,110,,,,22,,26,45,15,107,193,,98,105,11,113,1665,631,9050,2358,598406,26,156,0,327,13704
039-VMART SAMASTIPUR,SAMASTIPUR,R-27,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",27,81,1135,20,1155,29,38,5,D-Oct-YY,54,840,4,12,,40,,,,18,,26,21,13,27,87,,91,26,0,30,1036,356,6572,769,476902,16,58,0,146,8733
157-VMART KHAGARIA,KHAGARIA,R-27,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",27,101058,45,10,55,1,4,4,D-Oct-YY,66,802,12,14,2,52,,,,16,,15,27,7,53,102,,57,41,0,59,887,424,6572,1302,338470,10,84,0,157,9185
045-VMART MUZAFFARNAGAR,MUZAFFARNAGAR,R-28,"MEERUT,MUZAFFARNAGAR,ROORKEE",28,28,327,2,329,48,3,2,D-Oct-YY,54,642,2,11,,30,,,,2,,34,2,10,8,54,,126,3,0,7,1583,20,5522,203,551496,21,24,0,136,7328
047-VMART SAHARANPUR,SAHARANPUR,R-28,"GURGAON,DELHI,GHAZIABAD,MODINAGAR",28,43,240,10,250,11,34,1,D-Oct-YY,120,985,15,24,1,78,,,,3,,38,7,15,74,134,,144,13,5,76,1537,53,13266,1623,688988,11,109,0,239,16479
236-VMART SAHARANPUR-DELHI ROAD,SAHARANPUR-DELHI ROAD,R-28,"GURGAON,DELHI,GHAZIABAD,MODINAGAR",28,101212,240,30,270,11,34,1,D-Oct-YY,64,399,,9,,24,,,,,,28,2,13,2,45,,99,1,0,0,990,18,6822,24,450276,9,24,0,100,7854
093-VMART HARIDWAR,HARIDWAR,R-29,"GURGAON,DELHI,GHAZIABAD,MODINAGAR",29,100173,270,10,280,7,12,3,D-Oct-YY,123,983,13,18,,25,,,,3,,19,5,9,36,69,,70,11,,46,808,130,,1014,346172,4,55,0,127,1952
186-VMART MANGLAUR,MANGLAUR,R-29,"GURGAON,DELHI,GHAZIABAD,MODINAGAR",29,101132,231,10,241,6,12,1,D-Oct-YY,52,354,3,14,,8,,,,3,,9,3,4,15,31,,11,6,0,17,306,40,5607,318,163074,1,27,0,34,6271
023-VMART FATHEPUR,FATHEPUR,R-3,"HODEL,AGRA,FIROZABAD,KANPUR",3,100111,96,15,111,3,5,3,D-Oct-YY,98,1146,7,19,1,8,,,,16,,20,10,9,21,60,,73,38,,28,826,159,,496,356146,7,43,0,139,1481
067-VMART BANDA,BANDA,R-3,"HODEL,AGRA,FIROZABAD,KANPUR",3,100503,607,10,617,15,18,3,D-Oct-YY,79,791,8,10,,4,,,,11,,10,7,5,17,39,,34,17,,24,477,120,,396,188034,11,22,0,75,993
001-VMART ALIGARH,ALIGARH,R-30,"SOHNA,PALWAL",30,59,148,15,163,4,6,3,D-Oct-YY,55,467,7,9,1,16,,,,,,18,1,9,14,42,,70,0,0,18,910,6,5762,311,301492,17,15,0,88,6989
002-VMART BADAUN,BADAUN,R-30,"SOHNA,PALWAL",30,100051,118,10,128,3,4,3,D-Oct-YY,74,595,,18,2,18,,,,5,,30,5,8,10,53,,104,6,,17,1794,124,,267,495260,33,8,0,126,2185
003-VMART HATHRAS,HATHRAS,R-30,"SOHNA,PALWAL",30,100645,38,5,43,1,2,3,D-Oct-YY,55,354,4,6,1,26,,,,7,,34,,11,9,,,117,,0,14,1473,,140,160,548930,16,27,0,131,1773
050-VMART MURADABAD,MURADABAD,R-31,"GURGAON,DELHI,HAPUR",31,40,226,15,241,6,10,3,D-Oct-YY,69,1113,14,31,,71,,,,4,,65,7,21,50,143,,246,8,0,53,2870,80,5522,1371,1094192,18,102,0,306,9843
051-VMART SHAHAJAHANPUR,SHAHAJAHANPUR,R-31,"GURGAON,DELHI,HAPUR",31,47,82,10,92,2,3,3,D-Oct-YY,106,1545,21,56,2,49,,,,9,,33,21,10,82,146,,111,31,11,107,1571,469,6039,2068,642320,12,123,0,260,10147
052-VMART BAREILLY,BAREILLY,R-31,"GURGAON,DELHI,HAPUR",31,100677,91,10,101,3,3,3,D-Oct-YY,31,352,,6,,14,,,,1,,15,3,5,2,25,,57,5,0,2,669,82,15,18,245560,9,12,0,64,784
193-VMART PREM NAGAR-BAREILLY,PREM NAGAR-BAREILLY,R-31,"GURGAON,DELHI,HAPUR",31,101143,5,0,5,0,1,3,D-Oct-YY,30,306,1,1,,25,,,,15,,28,5,12,5,50,,36,5,37,3,1043,42,6672,90,458562,2,40,0,81,7847
048-VMART SITAPUR,SITAPUR,R-32,"NUH,AGRA,ALIGARH",32,70,495,10,505,13,5,3,D-Oct-YY,117,1205,8,31,,53,,,,2,,41,8,20,47,116,,145,30,0,51,1889,65,5522,947,711794,17,77,0,226,8423
049-VMART LAKHIMPUR,LAKHIMPUR,R-32,"NUH,AGRA,ALIGARH",32,87,60,10,70,2,3,3,D-Oct-YY,85,969,,43,4,80,,,,6,,63,9,25,62,159,,223,26,0,76,3178,157,5522,1372,1077808,29,100,0,325,10229
175-VMART SIDHAULI,SIDHAULI,R-32,"NUH,AGRA,ALIGARH",32,101121,40,5,45,1,2,3,D-Oct-YY,59,519,5,9,,31,,,,1,,29,2,15,15,61,,102,1,0,18,1388,22,5522,388,478978,10,36,0,121,7320
011-VMART GONDA,GONDA,R-33,"NUH,AGRA,KANPUR,BARABANKI",33,32,678,20,698,17,22,3,D-Oct-YY,124,2174,12,17,,32,,1,,27,,8,25,2,56,91,,30,42,0,59,432,395,84,1285,226688,11,78,0,130,2196
012-VMART BAHRAICH,BAHRAICH,R-33,"NUH,AGRA,KANPUR,BARABANKI",33,55,64,10,74,2,2,3,D-Oct-YY,167,2611,17,16,2,39,,,,22,,7,16,1,74,98,,24,16,,76,568,129,,1823,212568,11,83,0,116,2520
028-VMART KANPUR,KANPUR,R-34,"NUH,AGRA,FIROZABAD,SHIKOHABAD",34,38,138,10,148,4,4,3,D-Oct-YY,53,887,1,9,,54,,,,9,,56,14,20,2,92,,207,21,14,1,2307,204,6022,18,916340,11,62,0,242,8551
029-VMART SAKET NAGAR,SAKET NAGAR,R-34,"NUH,AGRA,FIROZABAD,SHIKOHABAD",34,100049,10,0,10,0,1,3,D-Oct-YY,139,982,5,6,,39,,,,5,,29,12,10,13,64,,114,19,14,13,1431,246,501,364,494766,12,43,0,160,2542
239-VMART LAL BANGLA-KANPUR,LAL BANGLA-KANPUR,R-34,"NUH,AGRA,FIROZABAD,SHIKOHABAD",34,101228,138,10,148,,48,2,D-Oct-YY,84,1008,1,4,,40,,,,3,,30,18,8,2,58,,113,30,0,2,1563,233,5522,33,510460,32,16,0,144,7351
118-VMART MUNGER,MUNGER,R-35,"HODEL,KANPUR,ALLAHBAD,MOHNIYA",35,101006,1249,20,1269,32,45,3,D-Oct-YY,96,883,7,21,1,77,,,,4,,41,36,22,36,135,,135,46,0,45,1752,663,1200,1051,750676,11,98,0,226,4666
146-VMART JAMALPUR,JAMALPUR,R-35,"HODEL,KANPUR,ALLAHBAD,MOHNIYA",35,101041,10,0,10,0,1,1,D-Oct-YY,94,1257,6,45,,95,,,,9,,39,71,17,45,172,,142,139,11,53,1756,1184,1350,1095,789942,10,145,0,344,5385
199-VMART LAKHISARAI,LAKHISARAI,R-35,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",35,101152,38,5,43,1,5,4,D-Oct-YY,29,416,7,7,,39,,,,2,,22,11,11,22,66,,44,40,0,23,870,155,6572,588,390676,2,53,0,107,8185
200-VMART SHEIKHPURA,SHEIKHPURA,R-35,"NUH,AGRA,KANPUR,BARABANKI,GORAKHPUR",35,101156,212,10,222,6,8,4,D-Oct-YY,38,424,6,10,,49,,,,1,,24,18,11,23,76,,64,30,11,22,915,279,6972,510,435862,0,66,0,127,8676
094-VMART HALDWANI,HALDWANI,R-36,"GURGAON,DELHI,HAPUR,MORADABAD",36,100109,32,5,37,1,1,3,D-Oct-YY,89,1032,3,14,1,29,,,,1,,17,3,5,28,53,,63,7,0,30,795,54,144,715,302964,18,29,0,101,1708
095-VMART KASHIPUR,KASHIPUR,R-36,"GURGAON,DELHI,HAPUR,MORADABAD",36,100523,282,15,297,7,12,3,D-Oct-YY,57,823,5,7,,29,,,,1,,11,4,3,26,44,,42,7,0,27,638,38,60,628,207464,18,24,0,76,1364
105-VMART RUDRAPUR,RUDRAPUR,R-36,"GURGAON,DELHI,HAPUR,MORADABAD",36,100815,55,10,65,2,2,3,D-Oct-YY,46,731,8,33,,27,,,,,,12,5,4,51,72,,45,16,,68,725,80,,1437,249774,10,58,0,130,2242
053-VMART CHANDIGARH,CHANDIGARH,R-37,"PAUTODI,JAJHAR,PANIPAT,KARNAL",37,11,33,15,48,1,2,2,D-Oct-YY,99,740,4,18,,56,,,,1,,43,4,16,31,94,,157,8,0,37,1840,87,5522,668,720682,4,75,0,203,8117
054-VMART AMBALA,AMBALA,R-37,"PAUTODI,JAJHAR,PANIPAT,KARNAL",37,41,320,20,340,9,10,2,D-Oct-YY,44,259,,5,,24,,,,,,22,2,7,3,34,,79,2,0,3,756,12,6572,60,355958,21,8,0,85,7400
280-VMART ZIRAKPUR-BUS STAND,ZIRAKPUR-BUS STAND,R-37,"PAUTODI,JAJHAR,PANIPAT,KARNAL",37,101286,299,5,304,48,42,2,D-Oct-YY,78,529,1,9,,36,,,,,,33,15,17,,,,118,147,11,,1627,198,5922,,550812,0,46,0,276,7747
055-VMART JALANDHAR,JALANDHAR,R-38,"PAUTODI,JAJHAR,ROHTAK,JIND,SANGRUR",38,12,448,20,468,12,15,3,D-Oct-YY,42,403,9,8,1,75,,,,4,,53,22,26,21,122,,178,69,0,27,2534,303,5772,462,901630,18,78,0,274,9071
057-VMART PATHANKOT,PATHANKOT,R-38,"PAUTODI,JAJHAR,ROHTAK,JIND,SANGRUR",38,13,42,15,57,1,2,3,D-Oct-YY,59,510,1,5,1,74,,,,7,,51,11,31,23,116,,179,18,0,30,2321,108,6842,397,852298,6,81,0,227,9668
058-VMART GURDASPUR,GURDASPUR,R-38,"PAUTODI,JAJHAR,ROHTAK,JIND,SANGRUR",38,21,96,15,111,3,3,3,D-Oct-YY,86,589,7,9,2,67,,,,3,,33,17,15,41,106,,122,25,0,51,1612,207,5522,930,594790,11,75,0,198,8271
078-VMART SRINAGAR,SRINAGAR,R-39,"PAUTODI,JAJHAR,ROHTAK,LDH,PATHANKOT",39,56,234,30,264,7,10,5,D-Oct-YY,127,755,8,27,12,399,,8,,98,,311,215,161,52,739,,1162,279,2,59,23186,3423,20502,1309,5373036,19,521,0,1501,48420
133-VMART UDHAMPUR,UDHAMPUR,R-39,"PAUTODI,JAJHAR,ROHTAK,LDH,PATHANKOT",39,101028,110,15,125,3,5,5,D-Oct-YY,65,416,1,28,1,144,,2,,10,,96,49,41,44,230,,376,165,0,57,4501,1046,650,1164,1655272,6,179,0,598,7361
158-VMART KATHUA,KATHUA,R-39,"PAUTODI,JAJHAR,ROHTAK,LDH,PATHANKOT",39,101059,610,25,635,16,48,5,D-Oct-YY,129,342,10,34,3,172,,4,,15,,108,46,41,84,279,,331,102,11,95,5283,621,5835,2010,1879992,8,227,0,539,13749
031-VMART VARANASI,VARANASI,R-4,"HODEL,AGRA,KANPUR,ALLAHBAD",4,50,6,1,7,0,1,3,D-Oct-YY,88,804,14,23,,101,,,,1,,56,14,23,70,163,,208,47,0,82,2326,322,5846,1700,983388,7,132,0,338,10194
036-VMART PAHARIA,PAHARIA,R-4,"HODEL,AGRA,KANPUR,ALLAHBAD",4,85,805,20,825,21,24,3,D-Oct-YY,108,1113,14,148,,112,,,,1,,44,22,21,210,297,,149,61,0,244,1632,370,5842,4521,945028,11,264,0,454,12365
196-VMART MUGHALSARAI,MUGHALSARAI,R-4,"HODEL,AGRA,KANPUR,ALLAHBAD",4,101146,822,20,842,14,5,2,D-Oct-YY,57,785,6,35,,57,,,,2,,34,24,16,46,120,,122,69,0,48,1592,216,5661,1011,628036,8,92,0,238,8480
059-VMART AJMER,AJMER,R-40,"KOTHPUTLI,NEEMKA THANA,DIDWANA",40,15,135,10,145,3,48,2,D-Oct-YY,117,896,7,16,,26,,,,6,,31,5,19,15,70,,110,10,15,15,1266,74,6608,359,516074,25,30,0,150,8307
060-VMART NAGOUR,NAGOUR,R-40,"KOTHPUTLI,NEEMKA THANA,DIDWANA",40,78,153,10,163,4,24,1,D-Oct-YY,80,394,10,24,,37,,,,3,,38,9,17,27,91,,35,8,9,27,1634,101,5544,643,646198,10,64,0,79,7922
064-VMART UDAIPUR,UDAIPUR,R-41,"KOTHPUTLI,JAIPUR,KISHANGANJ",41,31,613,2,615,72,2,3,D-Oct-YY,143,706,4,22,1,104,,,,3,,84,24,36,23,167,,309,43,17,25,4004,610,5585,518,1399558,29,104,0,394,10717
232-VMART SANGANER-JAIPUR,SANGANER-JAIPUR,R-41,"KOTHPUTLI,JAIPUR,KISHANGANJ",41,101206,228,3,231,24,1,1,D-Oct-YY,31,355,,11,,44,,,,1,,35,15,23,2,75,,131,29,13,1,1250,278,6853,36,584552,8,48,0,174,8417
